sampleID,nn_score,cent_dist,avg_dist,avg_dist_weighted,x_cent,y_cent,base_cent_dist,num_nn_averaged,init_num_nn,init_nn_score,per_diff_num_nn
sample_888,0.2082051282051281,0.2240992652064098,0.1538886983183367,0.0023411901590107,1.3484980176781418,2.6788343054284964,0.2342669868037106,39,85,0.6049411764705882,0.5411764705882353
sample_458,0.2083870967741934,2.821181115978465,0.0528854863881192,0.0008598823759987,-0.2238391409452446,3.1456015926181657,2.828850392999557,31,191,0.8362827225130891,0.837696335078534
sample_955,0.2087096774193548,0.0901137878564556,0.2271204698518495,0.0102253013549236,0.7501727814660498,-3.723556291624207,0.0729746859792727,93,138,0.4302173913043478,0.3260869565217391
sample_397,0.209009009009009,0.1152735260135731,0.2244009516616202,0.0135842896220059,-3.635728884661716,0.2171554248775591,0.1462348818705046,111,176,0.4496022727272727,0.3693181818181818
sample_781,0.2093650793650793,0.2609490907610614,0.2104648692709514,0.0067464375809047,1.38421424941028,1.691578798683257,0.3593530828727205,63,107,0.4988785046728972,0.411214953271028
sample_285,0.2094117647058823,0.5086600330240104,0.2005441226999546,0.0037327952415412,-1.7791470151997208,1.3551057604104884,0.5592436526364788,34,71,0.5814084507042254,0.5211267605633803
sample_740,0.2094174757281553,0.6763800583004038,0.263218658648803,0.0129610153284957,0.7166410052013921,2.3647344957564096,0.696842194757421,103,182,0.5117032967032967,0.4340659340659341
sample_968,0.21,0.5601506483646005,0.2274929084300967,0.0051130777681649,-3.728804794074952,-0.7255375855032865,0.6077376309153463,45,153,0.7165359477124182,0.7058823529411765
sample_465,0.21,0.620463247259696,0.2534274460358976,0.0101978419758261,0.8717572951474594,-3.451593609967752,0.5714875831833682,77,126,0.4627777777777777,0.3888888888888889
sample_857,0.210281690140845,0.4404708155618935,0.1787375257602197,0.0071774372631406,2.547629936170776,-2.0941123089543097,0.4191457661372708,71,156,0.5997435897435898,0.5448717948717948
sample_119,0.2103703703703704,0.1774718831928407,0.193585095281251,0.0028833003164453,1.0328949336958162,-2.6964191589591735,0.2610718252142604,27,79,0.6810126582278481,0.6582278481012658
sample_1177,0.2104761904761904,0.3625077239876993,0.2857062113061662,0.0154454426723987,0.2591541692448867,2.5575653711493183,0.3669194418626819,105,170,0.4783529411764706,0.3823529411764705
sample_398,0.2105154639175257,0.3239401318563746,0.3390319148314722,0.0171441388736622,-2.6069690300194077,0.1292047701033548,0.3341940895856431,97,183,0.5383060109289617,0.4699453551912568
sample_1223,0.2108849557522124,0.6231709009239949,0.292442802617804,0.0181999862995973,-3.745060313840268,0.0261489854422604,0.6763072021395489,113,207,0.527536231884058,0.4541062801932367
sample_1295,0.210886075949367,0.5491616176359554,0.3585737131638876,0.0113631101150695,-2.6999758063448187,-0.590665098983752,0.6327617830519023,79,230,0.6745217391304347,0.6565217391304348
sample_441,0.2109090909090909,0.4596469184938642,0.2385941729461625,0.0089975031671635,-3.875061371503811,-0.1714245963920686,0.4601844636737832,66,165,0.6396969696969697,0.6
sample_965,0.2112,0.349840573784671,0.2288396984757827,0.0054802789211915,-3.6904799300655418,-0.7359201215744734,0.4332013469821901,50,167,0.7136526946107784,0.7005988023952096
sample_1008,0.2115254237288135,0.2778286353181456,0.3128196193045469,0.0098163638827661,3.2660184862758417,-1.571185792248429,0.2814205254334513,59,152,0.6473684210526316,0.6118421052631579
sample_683,0.2115384615384615,1.908813037781646,0.2072468645881052,0.0028363891977769,-3.327715446403021,-1.0176100254636744,1.705166928023821,26,113,0.7764601769911506,0.7699115044247787
sample_535,0.2116666666666666,0.0511495493472551,0.1702968014832405,0.0024625708372539,1.2889515859395868,2.7826266264173447,0.0527177734537478,36,87,0.6432183908045976,0.5862068965517241
sample_523,0.2117741935483871,0.8811181526138883,0.2793298475908101,0.0084794211809438,-3.842045331488538,-0.4814016111163077,0.8391664447501782,62,180,0.6858888888888889,0.6555555555555556
sample_52,0.2117857142857142,0.3714085715226223,0.2729473692527828,0.0079927670641034,-3.8194676872051954,-0.5465999560597049,0.3536825658934767,56,128,0.626953125,0.5625
sample_663,0.2119191919191919,0.785726812290666,0.2787649165166206,0.0146997539635583,-2.995483880585274,0.2801560144292345,0.7962571436533796,99,229,0.6045851528384281,0.5676855895196506
sample_167,0.2120253164556961,0.4958082703380839,0.2077934551206467,0.0092634517344384,2.5597703277909023,-1.036621333738274,0.4716161874473886,79,133,0.4972180451127819,0.4060150375939849
sample_563,0.2120588235294117,0.46020493055368,0.3074172378082503,0.0163874820905787,-0.6641271741871105,1.8167799760466716,0.4393984815267157,102,161,0.4624223602484471,0.3664596273291925
sample_1289,0.2122,0.6922128896743716,0.3685494458437701,0.010370140958942,-1.8741229923807852,0.7608762692152585,0.6723594107140201,50,105,0.5706666666666667,0.5238095238095238
sample_799,0.2126732673267326,0.5774449286612308,0.2547003864749787,0.0142998317865229,1.0762444643383435,2.389562674382648,0.5756078072197124,101,144,0.41125,0.2986111111111111
sample_1072,0.2127619047619047,0.3512716897174573,0.2860536733348359,0.0146180626454672,0.8072668704276748,2.370939164089014,0.3524478912229254,105,176,0.4798295454545453,0.4034090909090909
sample_346,0.2128235294117647,0.4101300378686436,0.2463356096865095,0.0110249318120427,0.2825155188665292,2.6629075186819944,0.4064586012840933,85,153,0.5125490196078432,0.4444444444444444
sample_534,0.2129166666666666,0.3591629956418546,0.2540684053491981,0.0091470002449616,0.5757829113735311,1.1743451138247671,0.389761303405054,72,140,0.5486428571428572,0.4857142857142857
sample_1097,0.2129787234042553,0.4641158684981901,0.1969808154007823,0.004079679121936,-2.4648922122755557,-0.8495229232197962,0.4280439996264814,47,100,0.5875999999999999,0.53
sample_1191,0.2131958762886598,0.3557540484346885,0.2899294172528046,0.0142525376408601,-0.6653252310154361,1.96013635819513,0.340529041573891,97,154,0.4662987012987013,0.3701298701298701
sample_202,0.2132954545454545,0.0340275933027883,0.3490858828103909,0.0137891556262076,-2.4652215033360823,-0.2693175954473514,0.2070904776931859,88,194,0.5908247422680413,0.5463917525773195
sample_863,0.2133636363636363,0.1250208899216085,0.2326350209903899,0.0141392904723704,-3.679719617394176,0.1412723240464161,0.1126705682782411,110,167,0.4320359281437126,0.3413173652694611
sample_924,0.2134,0.3381408369046282,0.2333053431563726,0.0061415512809026,-3.733507722156822,-0.6895554369479011,0.4264588230470114,50,155,0.6981290322580646,0.6774193548387096
sample_1272,0.21375,0.501269139987925,0.1688794285611224,0.0031678183625971,2.647907839838307,-0.9119766339972032,0.4977553673314518,32,106,0.7031132075471698,0.6981132075471698
sample_707,0.2142168674698795,0.3326733561226781,0.2448106099512773,0.0113410280199222,-3.108577676301704,0.2043468596262298,0.3341193660478108,83,215,0.6435813953488372,0.6139534883720931
sample_288,0.2142222222222222,0.063103432798634,0.2788660287869524,0.0131573243173078,-0.8557695303290205,1.752911479084469,0.0993437514751858,90,165,0.5275151515151515,0.4545454545454545
sample_1091,0.2146341463414634,0.5212578776779434,0.1641439712219607,0.0029067770451521,-2.198871654379794,-0.7547845425385601,0.4399356929974847,41,76,0.5430263157894737,0.4605263157894737
sample_171,0.215045871559633,0.2261138815473581,0.2749689888434212,0.0157096986689834,0.905927094300344,2.4281076319745334,0.2164620346093382,109,185,0.5007567567567568,0.4108108108108108
sample_704,0.2151219512195122,0.0818744464332558,0.2745921332544022,0.0057180574967851,-0.4576464036896486,0.4510652372491022,0.0474282876738735,41,80,0.556125,0.4875
sample_1263,0.2151648351648351,0.3995563299384097,0.2108440857198691,0.0099395470875464,2.7735920054255407,-2.012672446143449,0.3751000747742377,91,152,0.4751315789473684,0.4013157894736842
sample_1064,0.2155263157894736,0.6908397617664517,0.2910225020188418,0.0100029731362108,-2.454877529739815,-0.4691025828068755,0.6743898220620235,76,165,0.5858181818181819,0.5393939393939394
sample_449,0.2159999999999999,0.6822198759044327,0.257647466804649,0.0044953691721932,-3.3715737621090662,-0.9151086606956056,0.7064349047630614,35,108,0.6935185185185185,0.6759259259259259
sample_368,0.216103896103896,0.1189120761567702,0.2453135824329597,0.0098383280401452,1.2990191436622578,1.7421942239446353,0.1203774905197432,77,166,0.593855421686747,0.536144578313253
sample_746,0.2161428571428572,0.2636316039391742,0.1666464808465531,0.0067696855355137,2.591987421916257,-1.1651535529406842,0.223688853831232,70,141,0.5679432624113475,0.5035460992907801
sample_669,0.2161616161616162,0.2845056623179226,0.2169741691163393,0.0101905344110379,2.507857237987537,-1.3297366757125502,0.2887933563815079,99,173,0.508150289017341,0.4277456647398844
sample_484,0.2162790697674418,0.1868131941530084,0.267820528581869,0.0116511242424306,-2.7246599688243576,0.2781813978750501,0.2038408676013079,86,186,0.5916666666666667,0.5376344086021505
sample_1290,0.2164893617021276,0.1514225602049983,0.3100693765621097,0.0146333919404503,0.1570949184892009,1.3891427083993513,0.1191631594006198,94,160,0.4983124999999999,0.4125
sample_266,0.2165753424657534,0.1609521864045582,0.2849406575891791,0.0107042752690712,0.2646171192496934,0.8151814978077947,0.2052313452928876,73,119,0.4827731092436975,0.3865546218487395
sample_401,0.2166326530612245,0.0853744610777924,0.2932391093780217,0.0145048370620031,-0.6533681225014346,1.98374012590202,0.0780332963612233,98,167,0.5025149700598802,0.4131736526946107
sample_566,0.2167307692307692,0.3679551405170252,0.3703251713846834,0.0172755617739355,-3.176522860573441,0.1692185848693762,0.3513075164432052,104,233,0.5960944206008583,0.5536480686695279
sample_50,0.2170930232558139,0.408624786320165,0.2080154203569442,0.010275931172221,-3.590217710305599,0.0663552476500227,0.4272951682642492,86,141,0.4807092198581559,0.3900709219858156
sample_773,0.2170967741935484,0.3459898416600486,0.0874346429410445,0.0010240886690832,1.39633298898744,2.69609584207192,0.3486661882723238,31,68,0.6014705882352941,0.5441176470588235
sample_423,0.2171212121212121,0.2810949538008871,0.235209059511394,0.0083246195959903,2.532988136228167,-0.7832348646880154,0.2880154259671437,66,107,0.477196261682243,0.3831775700934579
sample_816,0.2173584905660377,0.1473644623264054,0.2470708174059274,0.0142726515020825,-3.299788673054032,0.1214851766463645,0.1389776462937588,106,188,0.5098936170212767,0.4361702127659574
